Config_21,Config_130,Config_63,Config_105,Config_152,Unnamed: 5,Metric,Value (seconds)
0.0043725,0.0061665,0.0071472,0.0048228,0.0059688,,,
0.0034222,0.0052161,0.0071999,0.0054416,0.0073919,,,
0.0032908,0.0063932,0.0088578,0.0077955,0.005794,,,
0.003462,0.0065929,0.005848,0.0076051,0.0057289,,,
0.0035175,0.0121425,0.0111344,0.0259661,0.1057942,,,
0.0033183,0.0071138,0.008369,0.0244866,0.0544083,,,
0.0033311,0.0047829,0.0055006,0.0056864,0.0070476,,,
0.0037315,0.0068656,0.007043,0.0047208,0.009955,,,
0.0034017,0.0062727,0.0134075,0.0065263,0.011573,,,
0.0039356,0.0133008,0.0058754,0.0068704,0.0063242,,,
0.0032418,0.0052907,0.0061617,0.0059584,0.0070356,,,
0.003485,0.0054604,0.0050737,0.0083803,0.0060975,,,
0.0034619,0.0128571,0.0062484,0.0067932,0.0060936,,,
0.0031878,0.0069373,0.0070211,0.007642,0.0193826,,,
0.0031342,0.0064495,0.0060323,0.0071506,0.0062999,,,
0.003742,0.0070942,0.0206649,0.0125579,0.0217454,,,
0.0035091,0.0069987,0.0871684,0.0272375,0.4006575,,,
0.0034082,0.004516,0.0060447,0.0051365,0.0082005,,,
0.0033673,0.0061784,0.0055726,0.005837,0.0080204,,,
0.0036709,0.0048092,0.008294,0.0057601,0.0067743,,,
0.0037671,0.0052052,0.0053299,0.0069067,0.0058699,,,
0.0034285,0.0070932,0.0067727,0.0097144,0.096287,,,
0.0035458,0.0055482,0.0071225,0.013391,0.040397,,,
0.0032154,0.0050879,0.0067415,0.007321,0.0211348,,,
0.0031823,0.0049619,0.005568,0.0064693,0.0067919,,,
0.0034232,0.0066322,0.0052469,0.0072781,0.006084,,,
0.0031104,0.0051406,0.0057109,0.0082987,0.0295796,,,
0.0033161,0.0060808,0.0116911,0.0228846,0.0308025,,,
0.0036772,0.0046611,0.0056714,0.0100686,0.0061698,,,
0.003177,0.0046631,0.0055935,0.0049039,0.0064103,,,
0.0031378,0.0067791,0.0095271,0.0256047,0.0473602,,,
0.0034449,0.006605,0.0057805,0.0141182,0.0065789,,,
0.0033095,0.0047906,0.0057088,0.0071197,0.0059167,,,
0.0030895,0.0048775,0.005373,0.007753,0.0060231,,,
0.0031023,0.0046548,0.0052859,0.005045,0.0080208,,,
0.0032974,0.0077737,0.0096543,0.009944,0.0213746,,,
0.0033254,0.0072934,0.0074699,0.0053395,0.0059574,,,
0.0035369,0.0048744,0.0063617,0.0049393,0.0065573,,,
0.0031304,0.0049862,0.0066879,0.0066388,0.061287,,,
0.0035369,0.0099101,0.0086606,0.0223512,0.3036897,,,
0.0033195,0.0053572,0.0051019,0.0063354,0.0062291,,,
0.0038055,0.0051714,0.0051903,0.0069666,0.0071138,,,
0.0032851,0.0049078,0.0051167,0.028115,0.0064547,,,
0.0034108,0.0049971,0.0052448,0.0047249,0.0067756,,,
0.0034514,0.0156399,0.0080853,0.0544266,0.3903837,,,
0.0032086,0.0051211,0.0127059,0.0069787,0.0117832,,,
0.0043184,0.0075759,0.0068078,0.0081902,0.0059621,,,
0.0033026,0.0061622,0.0151397,0.0085067,0.0063659,,,
0.0031752,0.0049458,0.0066191,0.0073591,0.0062684,,,
0.003124,0.0066928,0.0090045,0.0235809,0.0190192,,,
0.0031774,0.0083625,0.0463207,0.0084949,0.0206626,,,
0.0037103,0.0081796,0.0130542,0.0078713,0.0061836,,,
0.0041599,0.0049629,0.0078602,0.0056721,0.0065415,,,
0.0033616,0.0061938,0.0075487,0.018883,0.0062116,,,
0.003296,0.0135664,0.0076176,0.0198657,0.022492,,,
0.0033135,0.0045712,0.0074777,0.005198,0.0063023,,,
0.0030888,0.0048495,0.0051942,0.0070355,0.006178,,,
0.0034519,0.0065081,0.0293458,0.0213665,0.0825669,,,
0.0035121,0.0276076,0.006112,0.0138792,0.0071256,,,
0.0035594,0.0049939,0.0102445,0.0049335,0.0062048,,,
0.0032584,0.0083349,0.0081752,0.0185585,0.0531739,,,
0.0031581,0.0063239,0.0087008,0.0067026,0.0176994,,,
0.0034485,0.0078024,0.0248001,0.0218574,0.1051285,,,
0.003282,0.0044952,0.0050813,0.0050276,0.0065039,,,
0.0032433,0.0050407,0.0063529,0.0075151,0.0113082,,,
0.0031603,0.0045749,0.0052299,0.006317,0.0059311,,,
0.0032993,0.0059289,0.0095089,0.007361,0.0181174,,,
0.0031518,0.0055343,0.0085707,0.0178912,0.01762,,,
0.0031203,0.0072603,0.005597,0.0063188,0.0058452,,,
0.0033931,0.0052049,0.0093836,0.0079718,0.0215126,,,
0.0035539,0.0057201,0.0141127,0.0051783,0.0065994,,,
0.0036411,0.0047657,0.0049296,0.0064869,0.0081912,,,
0.0034069,0.0066058,0.0166263,0.0117165,0.3907041,,,
0.0037963,0.0053063,0.0308687,0.0186297,0.0062402,,,
0.0033166,0.0051562,0.0050738,0.0096764,0.0073975,,,
0.0037774,0.0054005,0.0053316,0.0067998,0.0694529,,,
0.0032479,0.0068798,0.0078305,0.0080941,0.0075462,,,
0.0032694,0.0272808,0.0071887,0.0051574,0.00595,,,
0.0032708,0.0063146,0.0065006,0.0146253,0.0071559,,,
0.0031877,0.0063136,0.0076564,0.006548,0.021132,,,
0.003259,0.0064519,0.0053627,0.0071371,0.0059314,,,
0.003746,0.0055029,0.0055494,0.0068157,0.0061739,,,
0.0032575,0.0048642,0.0065076,0.0064324,0.0069383,,,
0.0031982,0.0050998,0.0057538,0.0100758,0.0072134,,,
0.0034737,0.0100249,0.0051286,0.0060499,0.0318996,,,
0.0034276,0.0052947,0.0055062,0.0078103,0.0063033,,,
0.0035346,0.0061475,0.0090813,0.0190054,0.150084,,,
0.0033083,0.0062279,0.009435,0.027948,0.0186064,,,
0.0032643,0.0064428,0.0672838,0.0092568,0.2659686,,,
0.003393,0.0068366,0.0185726,0.0189006,0.0059698,,,
0.0032794,0.0063173,0.0061132,0.0053747,0.0063381,,,
0.0033499,0.0049968,0.0057289,0.0065735,0.005886,,,
0.0032918,0.0269253,0.0196506,0.0118438,0.0616925,,,
0.003563,0.0062446,0.0057034,0.006686,0.0071918,,,
0.0031783,0.0064807,0.006073,0.0066738,0.0057803,,,
0.0034174,0.0066095,0.0207519,0.0238908,0.0832726,,,
0.0037607,0.0061236,0.0181664,0.0054055,0.0067996,,,
0.0031691,0.006241,0.0083676,0.0202055,0.0182446,,,
0.003067,0.0052207,0.0055553,0.0152005,0.0065856,,,
0.0032559,0.0064409,0.006218,0.0068472,0.0077643,,,
0.0040013,0.0062095,0.0382949,0.0755733,0.0193862,,,
0.0147722,0.0049664,0.007476,0.0057556,0.0065948,,,
0.0032131,0.0065847,0.0664169,0.0084636,0.2462604,,,
0.0034807,0.0141248,0.0076401,0.0052687,0.0066139,,,
0.0032528,0.0066518,0.0091229,0.0231249,0.0225678,,,
0.0032225,0.0046202,0.0069022,0.0053067,0.0068054,,,
0.0034685,0.0049662,0.0056651,0.0050574,0.0064857,,,
0.0030766,0.0052217,0.0080044,0.0052261,0.0076195,,,
0.0032806,0.0049533,0.0051623,0.0073323,0.0066793,,,
0.003445,0.0064722,0.008907,0.0227587,0.0756967,,,
0.0030883,0.0053558,0.0130651,0.0052385,0.0067701,,,
0.0032591,0.0046827,0.009045,0.0055789,0.0064731,,,
0.0031385,0.0065805,0.0098595,0.0069401,0.0074118,,,
