f1,f2,f3,f4,a1,a2,a3,a4,Kaibel Column (Configuration 21),Agrawal Column (Configuration 130),Configuration 63 (ABC Absent),Configuration 105 (BCD Absent),Sargent Column (Configuration 152)
10,10,75,5,15.625,6.25,2.5,1,199.01323408983697,155.65780078169334,167.3408098269018,150.51953017846847,150.5195301951145
10,15,5,70,15.625,6.25,2.5,1,69.93919645875877,65.82745930230763,66.39068576250838,64.3677094354704,64.36770945199765
10,15,10,65,15.625,6.25,2.5,1,83.02705452986481,75.7583929150091,76.91986773197755,73.47509496361312,73.47509498014509
10,15,15,60,15.625,6.25,2.5,1,94.42692252922353,84.19374232661582,85.98088364643672,81.26489557062334,81.26489558716361
10,15,20,55,15.625,6.25,2.5,1,104.98162878911378,91.8575991061775,94.29380489263843,88.38332916762309,88.38332918417157
10,15,25,50,15.625,6.25,2.5,1,115.02186168893843,99.03667277587073,102.14251915872225,95.0851667568426,95.08516677339983
10,15,30,45,15.625,6.25,2.5,1,124.71580338255626,105.87841186836593,109.67228233885251,101.50076619200081,101.50076620856689
10,15,35,40,15.625,6.25,2.5,1,134.16168405209223,112.47007789963163,116.96855889301091,107.70682634744645,107.706826364016
10,15,40,35,15.625,6.25,2.5,1,143.42212339315853,118.86814447342252,124.08630178855816,113.75266398874317,113.75266400532979
10,15,45,30,15.625,6.25,2.5,1,152.53953596869871,125.11151444839982,131.06310027115347,119.67201305431928,119.6720130709144
10,15,50,25,15.625,6.25,2.5,1,161.543961252656,131.22825441435288,137.92586998816913,125.4890286123235,125.48902862892373
10,15,55,20,15.625,6.25,2.5,1,170.45741518121648,137.2393481010221,144.69457599496212,131.22162802012772,131.2216280367413
10,15,60,15,15.625,6.25,2.5,1,179.29647698211124,143.16093513906307,151.3844495070328,136.8834803173798,136.88348033391097
10,15,65,10,15.625,6.25,2.5,1,188.07391013431808,149.00571947167353,158.00737967609066,142.48525525532227,142.4852552719561
10,15,70,5,15.625,6.25,2.5,1,196.7997220621918,154.7838943762231,164.5728255980007,148.03544176643058,148.03544178307152
10,20,5,65,15.625,6.25,2.5,1,72.70562548633507,67.50512620260014,67.99999864973341,65.47008424878135,65.4700842653283
10,20,10,60,15.625,6.25,2.5,1,86.58341764845454,78.04428494417519,79.07305908694536,75.06556583771695,75.0655658542671
10,20,15,55,15.625,6.25,2.5,1,98.49212309730376,86.87186694342273,88.46383921394624,83.15130868675297,83.15130870330975
10,20,20,50,15.625,6.25,2.5,1,109.43502938727514,94.83937717630914,97.01936274003225,90.48746227853633,90.48746229510141
